name,Group,University,Research Interests
Alexei Sourin,Graphics and Interactive Computing,Moscow Engineering Physics Institute;Moscow Engineering Physics Institute,Computer Graphics;Shape Modelling;Virtual Reality;Web Visualization;Visualization on the Grid;Cybermedicine;Scientific Visualization
Anupam Chattopadhyay,Hardware and Embedded Systems,Jadavpur University;University of Lugano;RWTH Aachen Germany,High level Synthesis;Application specific Processors;Heterogeneous MPSoC;Synthesis for Emerging Technology
Anwitaman Datta,Parallel and Distributed Computing,Indian Institute of Technology Kanpur;Ecole Polytechnique Federale De Lausanne,Distributed Systems;Security and Privacy;Data Analytics;Algorithms;Self organization
Arijit Khan,Data Management and Analytics,Jadavpur University;University of California Santa Barbara,Graphs Querying and Mining;Databases;Data Mining;Algorithms;Machine Learning
Arvind Easwaran,Hardware and Embedded Systems,Bombay University;University of Pennsylvania;University of Pennsylvania,Real time Systems;Cyber physical Systems;Formal Methods
AS Madhukumar,Computer Networks and Communications,University of Kerala;Cochin University of Science and Technology;Indian Institude of Technology Madras,Ultra Wideband Radio;Modulation and Multiple Access;Communication Algorithms;Digital Signal Processing
Bo An,Computational Intelligence,Chongqing University;Chongqing University;University of Massachusetts Amherst,Multi agent Systems;Game Theory;Optimization;Intelligent  E-commerce
Cai Jianfei,Computer Vision and Language,Nanjing University;Southeast University;University of Missouri,Image Coding;Video Coding;Wireless Video;Multimedia Networking
Cai Wentong,Parallel and Distributed Computing,Nankai University;Nankai University;University of Exeter,Parallel and Distributed Simulation;Programming Environments and Tools;Parallel Algorithms and Architectures;System Performance Analysis
Cham Tat Jen,Computer Vision and Language,University of Cambridge;University of Cambridge,Computer Vision;Intelligent Projector Presentation Systems;Interactive Sentient Environments;Semantic Transcoding of Video Streams
Chan Syin,Computer Vision and Language,National University of Singapore;Kent University,Image Compression;Video Compression;Model based Coding;Multimedia Information Retrieval
Chia Liang Tien Clement,Computer Vision and Language,Loughborough University;Loughborough University,Multimedia Understanding for Information Management;Multimedia Processing;Multimedia Analysis;Multimedia Annotation;Multimedia Adaptation;Multimedia Transmission;Multimodality Data Fusion for Multimedia Storage and Retrieval;Ontology support for Multimedia Semantic Web
Chng Eng Siong,Computer Vision and Language,Edinburgh University;Edinburgh University,Digital Signal Processing;Speech and Handwriting Recognition;Noise Reduction
Deepu Rajan,Computer Vision and Language,Birla Institute of Technology;Clemson University;Indian Institute of Technology Bombay,"Image Processing;Video Processing, Computer Vision;Medical Imaging, Image Compression;Video Compression;Multimedia Signal Processing"
Deng Ruilong,Computer Networks and Communications,Zhejiang University;Zhejiang University,Cyber Physical Systems;Cyber Security;Wireless Networking
Douglas Leslie Maskell,Hardware and Embedded Systems,James Cook University;James Cook University;James Cook University,Signal Processing Applications;Embedded Systems
Dusit Niyato,Computer Networks and Communications,King Mongkut's Institute of Technology Ladkrabang;King Mongkut's Institute of Technology Ladkrabang;University of Manitoba,Radio Resource Management;Network Performance Analysis;Economics Modeling of Wireless Communications and Networking
Eric Cambria,Computational Intelligence,University of Genoa;University of Genoa;University of Stirling,Natural Language Processing;Sentiment Analysis;Common sense Reasoning;Intention Awareness
Gao Cong,Data Management and Analytics,Tianjin University;Tianjin University;National University of Singapore,"Geospatial, Textual, and Mobility Data Management;Data Mining, Large Scale Data Analytics;Mining Social Networks and Social Media;User Preference Modeling and Recommendation;Urban Informatics"
Goh Wooi Boon,Graphics and Interactive Computing,Birmingham University;University of Warwick;Nanyang Technological University,Computer Vision;Interactive Multimedia;Human Computer Interaction
Guan Cuntai,Computational Intelligence,Chinese Academy of Sciences;National University of Defense Technology;Southeast University,Brain Computer Interfaces;Neural Engineering;Machine Learning;Cognition and Rehabilitation
He Ying,Graphics and Interactive Computing,Tsinghua University;Tsinghua University;Stony Brook University,Computer Graphics;Geometric Modeling;Visualization;Scientific Computing
Huang Shell Ying,Parallel and Distributed Computing,Imperial College London;Imperial College London,Multi Agent Systems;Algorithms and Data Structure;Navigation and Route Planning Systems
Hui Siu Cheung,Data Management and Analytics,University of Sussex;University of Sussex,Data Mining;Semantic Web;Intelligent Techniques;Scheduling
Jagath C. Rajapakse,BioMedical Informatics,University of Moratuwa;State University of New YorkBuffalo;State University of New YorkBuffalo,Computational and Systems Biology;Brain Imaging;Machine Learning
Ke Yiping Kelly,Computational Intelligence,Fudan University;Hong Kong University of Science and Technology,Data Mining;Big Data Analytics;Bioinformatics;Data Management
